dataset,seed,fold,alpha,mean_pcc,mean_rmse,mean_mae,selected
CCLE,2,1,0.9,0.6770721469052035,0.7511577177499891,0.5476575126813291,False
CCLE,2,1,1.0,0.6715699084209549,0.7590717805208502,0.5541560246619128,False
CCLE,2,2,0.0,0.6920860403782134,0.7195815626438649,0.5300850592740514,False
CCLE,2,2,0.1,0.6952782950368563,0.7164199646624322,0.5274537207465164,False
CCLE,2,2,0.2,0.697357258682234,0.7144623901343955,0.5257131908662297,False
CCLE,2,2,0.3,0.6983390861181766,0.7137185968229214,0.5250693728834744,True
CCLE,2,2,0.4,0.6982547760989555,0.7141921113331987,0.5255597585255405,False
CCLE,2,2,0.5,0.697148643476203,0.7158801438582729,0.5272669009208968,False
CCLE,2,2,0.6000000000000001,0.6950763879219931,0.7187736680223649,0.5298649831464173,False
CCLE,2,2,0.7000000000000001,0.6921029001335601,0.7228576606165265,0.5335261298917754,False
CCLE,2,2,0.8,0.688299949500491,0.7281114865386576,0.5381070169650047,False
CCLE,2,2,0.9,0.6837438866028822,0.7345094063616289,0.5436490062927011,False
CCLE,2,2,1.0,0.6785134730410487,0.7420211783900305,0.550115254422635,False
CCLE,2,3,0.0,0.6921720112139393,0.7271550896839688,0.5347617930969368,False
CCLE,2,3,0.1,0.6953893411959085,0.7238792574069601,0.5320989126894633,False
