dataset,seed,quartile,method,pcc,rmse,mae,mean_disagreement,n_test
ERKAUC30,6,1,ridge_only,0.6755377410102484,0.6745562658370354,0.4519509510344991,0.02939232404457797,3635
ERKAUC30,6,1,fixed_fusion,0.6756697443089524,0.6744616127435813,0.45179432695990934,0.02939232404457797,3635
ERKAUC30,6,2,imputer_only,0.675496010275312,0.6568331964279451,0.46182546747721726,0.09550168476747652,3634
ERKAUC30,6,2,ridge_only,0.6777951714082247,0.6545035126540995,0.4599883755275191,0.09550168476747652,3634
ERKAUC30,6,2,fixed_fusion,0.6784770027416404,0.6538486402654807,0.45864123741294416,0.09550168476747652,3634
ERKAUC30,6,3,imputer_only,0.6907286835963394,0.6938957876016129,0.4862049731623543,0.1858184360896469,3635
ERKAUC30,6,3,ridge_only,0.6939075145996411,0.689429547893384,0.47996305356521485,0.1858184360896469,3635
ERKAUC30,6,3,fixed_fusion,0.6983023535580611,0.6851895146710051,0.4755396530186204,0.1858184360896469,3635
ERKAUC30,6,4,imputer_only,0.618688372705072,0.9788285818054595,0.6782395092594593,0.4547597709098799,3634
ERKAUC30,6,4,ridge_only,0.6307265608583644,0.9295994791924127,0.6282044528552158,0.4547597709098799,3634
ERKAUC30,6,4,fixed_fusion,0.6469306434291255,0.9181367847450461,0.6218853016870054,0.4547597709098799,3634
ERKAUC30,7,1,imputer_only,0.6738202677387175,0.6459013900607649,0.4512299910959393,0.02958104649809749,3635
ERKAUC30,7,1,ridge_only,0.6738245084052068,0.6458775438000848,0.45143407119796425,0.02958104649809749,3635
ERKAUC30,7,1,fixed_fusion,0.6740616532072261,0.6456624716362908,0.45111968610030595,0.02958104649809749,3635
ERKAUC30,7,2,imputer_only,0.6875403638035241,0.6696122203814449,0.460166381912736,0.09476422536636389,3634
ERKAUC30,7,2,ridge_only,0.6882555752449919,0.6687657318810658,0.4594633577100755,0.09476422536636389,3634
ERKAUC30,7,2,fixed_fusion,0.6896840374576345,0.6674245370986525,0.45776281305110816,0.09476422536636389,3634
ERKAUC30,7,3,imputer_only,0.615391723101124,0.7559931870612308,0.5098121411769058,0.1865272207903654,3635
ERKAUC30,7,3,ridge_only,0.6144906962512817,0.7549747336175079,0.5065891900626205,0.1865272207903654,3635
ERKAUC30,7,3,fixed_fusion,0.6210108514193423,0.7495151935051395,0.5009312230486308,0.1865272207903654,3635
ERKAUC30,7,4,imputer_only,0.6476538198986725,0.9564430160909324,0.6753337493277297,0.4612695834269859,3634
ERKAUC30,7,4,ridge_only,0.6535506599289564,0.9123666777706985,0.6245156038168358,0.4612695834269859,3634
ERKAUC30,7,4,fixed_fusion,0.6724970251102427,0.8969582435926162,0.6156089576797987,0.4612695834269859,3634
ERKAUC30,8,1,imputer_only,0.6870421492602095,0.632917941934318,0.44389849806238385,0.02970800809036976,3635
ERKAUC30,8,1,ridge_only,0.6872450262499777,0.6327978378276058,0.4435177947696557,0.02970800809036976,3635
ERKAUC30,8,1,fixed_fusion,0.6873696778061315,0.6326228466821462,0.4434187578332983,0.02970800809036976,3635
ERKAUC30,8,2,imputer_only,0.6667989278393305,0.6903477196028169,0.4659360925724875,0.09594253693355158,3634
ERKAUC30,8,2,ridge_only,0.6676426545453784,0.6894706418502106,0.46469020335294037,0.09594253693355158,3634
ERKAUC30,8,2,fixed_fusion,0.6690477716863018,0.6881575970064691,0.4631439963733898,0.09594253693355158,3634
ERKAUC30,8,3,imputer_only,0.6568692182427415,0.7323029292287836,0.510039051178465,0.18750555210074593,3635
ERKAUC30,8,3,ridge_only,0.6587615940133973,0.7285825189496049,0.5020473737488579,0.18750555210074593,3635
ERKAUC30,8,3,fixed_fusion,0.6636600420014602,0.7242013404086679,0.4989221786827362,0.18750555210074593,3635
ERKAUC30,8,4,imputer_only,0.6147929295313981,0.9869246423191032,0.6855698805126509,0.4661386118518536,3634
ERKAUC30,8,4,ridge_only,0.62943242772315,0.9334658124513787,0.6304750852826606,0.4661386118518536,3634
ERKAUC30,8,4,fixed_fusion,0.645549732966744,0.9220067663114396,0.6249893574938462,0.4661386118518536,3634
ERKAUC30,9,1,imputer_only,0.6766652716397741,0.6352287377389622,0.44519561156143717,0.030220649761828033,3635
