dataset,mask_ratio,method,metric,mean,sd,ci_low,ci_high,n
PI3KIC50,0.1,mfmr_base,pcc,0.6073420045255612,0.021010316692580695,0.5923121293825215,0.6223718796686009,10
PI3KIC50,0.1,mfmr_base,rmse,0.80192740961243,0.022377049699005756,0.785919832574602,0.8179349866502581,10
PI3KIC50,0.1,mfmr_base,mae,0.5639719749439404,0.009777648588695766,0.5569774665016897,0.570966483386191,10
PI3KIC50,0.1,original_mclrp,pcc,0.5610257963895142,0.015622123375898817,0.5498504025463631,0.5722011902326654,10
PI3KIC50,0.1,original_mclrp,rmse,0.9692810141824632,0.03691057673419522,0.9428767782116441,0.9956852501532822,10
PI3KIC50,0.1,original_mclrp,mae,0.6998605791906757,0.01440668314618051,0.6895546589096696,0.7101664994716818,10
PI3KIC50,0.15,mfmr_base,pcc,0.5906305304211049,0.025349513510218115,0.5724965808681257,0.6087644799740841,10
PI3KIC50,0.15,mfmr_base,rmse,0.8092768272091634,0.03150470273582405,0.7867397205359818,0.8318139338823449,10
PI3KIC50,0.15,mfmr_base,mae,0.573484235051473,0.013470409968778614,0.5638480842538129,0.583120385849133,10
PI3KIC50,0.15,original_mclrp,pcc,0.5416774195894317,0.01767103486857792,0.5290363227602337,0.5543185164186297,10
PI3KIC50,0.15,original_mclrp,rmse,0.9611790408876857,0.03691315089426357,0.9347729634736845,0.9875851183016868,10
PI3KIC50,0.15,original_mclrp,mae,0.6982876372463849,0.01634930473030891,0.6865920491994506,0.7099832252933191,10
PI3KIC50,0.2,mfmr_base,pcc,0.5799908570953366,0.02377494352067278,0.5629832870583406,0.5969984271323326,10
PI3KIC50,0.2,mfmr_base,rmse,0.8182966646934803,0.02419168066345356,0.8009909788634142,0.8356023505235464,10
PI3KIC50,0.2,mfmr_base,mae,0.5825967429256971,0.010354286245300178,0.5751897327535415,0.5900037530978527,10
PI3KIC50,0.2,original_mclrp,pcc,0.5304452050205433,0.016638201908965766,0.5185429523817362,0.5423474576593503,10
PI3KIC50,0.2,original_mclrp,rmse,0.9619391841355833,0.029589555135260563,0.940772091524452,0.9831062767467147,10
PI3KIC50,0.2,original_mclrp,mae,0.6997687796320525,0.013598359329309792,0.6900410993757198,0.7094964598883853,10
PI3KIC50,0.25,mfmr_base,pcc,0.566985484476078,0.018266967591799826,0.5539180830578188,0.5800528858943372,10
PI3KIC50,0.25,mfmr_base,rmse,0.835125858876314,0.020019848773018194,0.8208045217996932,0.8494471959529347,10
PI3KIC50,0.25,mfmr_base,mae,0.5942076664728843,0.008778316135916422,0.5879280374021075,0.600487295543661,10
PI3KIC50,0.25,original_mclrp,pcc,0.5139216692594131,0.010101634204633251,0.5066953954693606,0.5211479430494655,10
PI3KIC50,0.25,original_mclrp,rmse,0.9704142585220843,0.02610441283520143,0.9517402865236523,0.9890882305205163,10
PI3KIC50,0.25,original_mclrp,mae,0.7042993754324743,0.011790792865558286,0.6958647503290192,0.7127340005359295,10
PI3KIC50,0.3,mfmr_base,pcc,0.5537414884328886,0.01743155928697387,0.5412717021148067,0.5662112747509706,10
PI3KIC50,0.3,mfmr_base,rmse,0.8459190434169896,0.02021220326553177,0.8314601042257515,0.8603779826082278,10
PI3KIC50,0.3,mfmr_base,mae,0.6016918772910682,0.012695663682132513,0.5926099465999494,0.6107738079821871,10
PI3KIC50,0.3,original_mclrp,pcc,0.4985264318708196,0.00785273672054907,0.49290892242686657,0.5041439413147726,10
PI3KIC50,0.3,original_mclrp,rmse,0.9733627021185287,0.017915537733451153,0.9605466984764097,0.9861787057606477,10
PI3KIC50,0.3,original_mclrp,mae,0.7075949007646742,0.009852977655866261,0.7005465051540015,0.714643296375347,10
